Utility Name,Date,Time,Latitude,Longitude,Material,Land use,Size,Suppressed By,Suppressing Agency,Facility Identification,Other Companies,Voltage,type,Was There Date,HFRA,cGIS HFRA HFTD,,Outage date,outage time,suspected equipment,Contributing Factor,Facility Contacted,Circuit,FIPA Form Name
SCE,6/11/20,15:52,34.5547,-117.161,Vegetation,Urban,Less Than,,Apple Valley Fire Department,OH-4881038E,No,,Distributio Conductor Overhead  No,,Non-HFRA N,,Frontier Co 12,,,Equipmen  Other,,Other,Standing Rock,FIPA_2020_0611_1552
SCE,6/12/20,12:17,34.4595,-117.274,Vegetation,Urban,.26 - 9.99,,Hesperia Fire Department,OH-2156864E,No,,Distributio Conductor Overhead  No,,Non-HFRA N,,Frontier Co 12,,,Contact From Object  Animal,,Electric Fa  Outside Force,Wing,FIPA_2020_0612_1217
SCE,6/12/20,14:53,34.0567,-117.635,Other,Urban,Less Than,,,OH-4665052E,No,12,Distributio Transform  Overhead  Yes,,Non-HFRA N,,None,6/12/20,13:44,Unknown,,Unknown,Dalmatian,FIPA_2020_0612_1453
SCE,6/13/20,17:26,33.782,-117.47,Vegetation,Rural,10 - 99 Acres,,Riverside County Fire Department,OH-4709138E,T3,12,Distributio Conductor Overhead  Yes,,Tier 3,Y,None,6/13/20,17:26,,Contact From Object  Balloons   Electric Fa  Outside Force,,Conestoga,FIPA_2020_0613_1726
SCE,6/13/20,20:06,33.8473,-117.515,Vegetation,Urban,.26 - 9.99,,,OH-73328S,T3,33,Distributio Conductor Overhead  Yes,,Tier 3,Y,None,6/13/20,20:06,,Contact From Object  Balloons   Electric Fa  Outside Force,,Porphyry,FIPA_2020_0613_2006
SCE,6/13/20,9:50,34.1462,-116.27,Other,Rural,Less Than,,,OH-1686040E,No,12,Distributio Other,Overhead  Yes,Non-HFRA N,,None,6/13/20,9:50,,Contact From Object  Balloons   Electric Fa  Outside Force,,Allegra,FIPA_2020_0613_0950
SCE,6/14/20,16:25,34.7098,-118.416,Vegetation,Rural,Less Than,,,OH-4665728E,T2,12,Distributio Conductor Overhead  Yes,,Tier 2,Y,None,6/14/20,19:23,Equipmen  Conductor,,Outside Force,Hughes Lake,FIPA_2020_0614_1625
SCE,6/15/20,10:18,33.9476,-117.923,Vegetation,Urban,Less Than,,,OH-X11989E,T3,12,Distributio Conductor Overhead  Yes,,Tier 3,Y,None,6/15/20,10:18,,Contact From Object  Balloons   Electric Fa  Outside Force,,Whipstock,FIPA_2020_0615_1018
SCE,6/16/20,12:41,33.8747,-117.959,Vegetation,Urban,Less Than,,,OH-1222483E,No,12,Distributio Conductor Overhead  Yes,,Non-HFRA N,,None,6/16/20,14:41,,Contact From Object  Balloons   Electric Fa  Outside Force,,Rough,FIPA_2020_0616_1241
SCE,6/19/20,19:09,33.8069,-116.547,Vegetation,Rural,Less Than,,,OH-235364S,No,12,Distributio Conductor Overhead  Yes,,Non-HFRA N,,None,6/19/20,19:09,Contact From Object  Animal,,Electric Fa  Outside Force,Stack,FIPA_2020_0619_1909
SCE,6/20/20,14:54,34.033,-117.399,Vegetation,Urban,.26 - 9.99,,Rialto Fire Department,OH-4869738E,T2,33,Distributio Conductor Overhead  Yes,,Tier 2,Y,None,6/20/20,14:54,Contact From Object  Other,,Electric Fa  Unknown,Larch,FIPA_2020_0620_1454
SCE,6/21/20,11:23,34.1169,-117.379,Other,Urban,Less Than,,,OH-261195S,No,,Distributio Other,Overhead  Yes,Non-HFRA N,,AT&T CALI 12,6/21/20,11:23,Contact From Object  Balloons,,Electric Fa  Outside Force,Cabernet,FIPA_2020_0621_1123
SCE,6/22/20,13:03,34.4787,-117.214,Other,Rural,Less Than,,,OH-2154977E,No,12,Distributio Lightning A Overhead  Yes,,Non-HFRA N,,None,6/22/20,13:03,Equipmen  Lightning Arrestor,,Other,Deloro,FIPA_2020_0622_1303
SCE,6/22/20,8:12,34.5384,-117.225,Other,Urban,Less Than,,,OH-2155419E,No,,Distributio Transform  Overhead  Yes,,Non-HFRA N,,Frontier Co 12,6/22/20,8:12,,Contact From Object  Balloons   Electric Fa  Outside Force,,Lakota,FIPA_2020_0622_0812
SCE,6/24/20,16:53,34.147,-117.357,Vegetation,Urban,.26 - 9.99,,,OH-4138868E,T2,115,Transmissi Other,Overhead  Yes,Tier 2,Y,None,6/24/20,16:53,Other,,Unknown,ARROWHEAD-CALE  FIPA_2020_0624_1653,
SCE,6/24/20,15:39,34.4205,-119.604,Vegetation,Urban,Less Than,,Summerland Fire Department,OH-1868554E,No,33,Distributio Fuse,Overhead  Yes,Non-HFRA N,,None,6/24/20,12:40,Equipmen  Transformer,,Other,Greenwell,FIPA_2020_0624_1539
SCE,6/25/20,17:38,33.8708,-118.008,Other,Rural,Less Than,,Orange County Fire Department,UG-5194363,No,12,Distributio Conductor Undergrou No,,Non-HFRA N,,None,,,Other,,None,Jamaica,FIPA_2020_0625_1738
SCE,6/27/20,8:48,34.7745,-118.149,Vegetation,Rural,Less Than,,,OH-4769654E,No,,Distributio Other,Overhead  Yes,Non-HFRA N,,Frontier Co 12,6/27/20,8:58,Contact From Object  Animal,,Electric Fa  Outside Force,Grubstake,FIPA_2020_0627_0848
SCE,6/30/20,18:30,34.1316,-118.183,Vegetation,Urban,Less Than,,Monrovia Fire Department,OH-4209659E,No,,Transmissi Other,Overhead  Yes,Non-HFRA N,,City of Pas 66,6/30/20,18:30,Contact From Object  Balloons,,Electric Fa  Outside Force,EAGLE ROCK-ALHAMFIPA_2020_0630_1830,
SCE,7/3/20,16:55,36.0637,-119.013,Vegetation,Urban,Less Than,,Porterville FD,OH-1517323E,No,12,Distributio Conductor Overhead  No,,Non-HFRA N,,None,,,Vandalism/Theft,,Other,Drag,FIPA_2020_0703_1655
SCE,7/5/20,3:57,34.1325,-118.853,Vegetation,Rural,.26 - 9.99,,,OH-1848406E,T3,16,Distributio Other,Overhead  Yes,Tier 3,Y,None,7/5/20,3:57,Equipmen  Insulator,,Other,La Mancha,FIPA_2020_0705_0357
SCE,7/5/20,12:00,35.8708,-118.641,Vegetation,Rural,Less Than,,Cal Fire,OH-4541201E,T2,2.4,Distributio Other,Overhead  Yes,Tier 2,Y,None,7/5/20,12:00,,Contact From Object  Vegetation Electric Fa  Other,,Capanero,FIPA_2020_0705_1200
SCE,7/5/20,19:37,34.5579,-117.289,Vegetation,Urban,Less Than,,,OH-1601308E,No,,Distributio Conductor Overhead  Yes,,Non-HFRA N,,Frontier Co 12,7/5/20,20:44,Contact From Object  Animal,,Electric Fa  Outside Force,Seals,FIPA_2020_0705_1937
SCE,7/6/20,1:29,34.8022,-117.209,Vegetation,Urban,Less Than,,Barstow Fire Department,OH-1906079E,No,,Distributio Conductor Overhead  Yes,,Non-HFRA N,,Frontier Co 33,7/6/20,1:29,Equipmen  Splice/Clamp/Connector,,Other,Poco,FIPA_2020_0706_0129
SCE,7/11/20,17:10,33.669,-117.326,Vegetation,Urban,Less Than,,,OH-11131S,No,,Distributio Conductor Overhead  Yes,,Non-HFRA N,,Frontier Co 12,7/11/20,17:20,Equipmen  Conductor,,Other,Muddy,FIPA_2020_0711_1710
SCE,7/13/20,17:43,34.0461,-118.653,Vegetation,Urban,.26 - 9.99,,Los Angeles County Fire Department,OH-4251442E,T3,16,Distributio Conductor Overhead  Yes,,Tier 3,Y,None,7/13/20,17:43,Equipmen  Conductor,,Human Error,Nicholas,FIPA_2020_0713_1743
SCE,7/14/20,15:39,34.8652,-116.691,Vegetation,Rural,Less Than,,,OH-2236870E,No,12,Distributio Other,Overhead  Yes,Non-HFRA N,,None,7/14/20,15:39,Equipmen  Transformer,,Outside Force,Helios,FIPA_2020_0714_1539
SCE,7/15/20,11:55,34.7034,-118.16,Vegetation,Urban,Less Than,,,OH-1048136E,No,,Distributio Conductor Overhead  No,,Non-HFRA N,,Frontier Co 12,,,Contact From Object  Other,,Electric Fa  None,Medallion,FIPA_2020_0715_1155
SCE,7/19/20,9:44,33.8504,-117.991,Vegetation,Urban,Less Than,,Orange County Fire Department,OH-1171929E,No,12,Distributio Other,Overhead  No,Non-HFRA N,,None,,,Contact From Object  Animal,,Electric Fa  Outside Force,Knott,FIPA_2020_0719_0944
SCE,7/23/20,7:56,35.1594,-116.759,Vegetation,Rural,Less Than,,,OH-A257230E,No,115,Transmissi Other,Overhead  No,Non-HFRA N,,None,,,Contact From Object  Balloons,,Electric Fa  Outside Force,COOL WATER-TIEFO FIPA_2020_0723_0756,
SCE,7/25/20,13:12,35.6345,-118.388,Vegetation,Rural,Less Than,,Kern County Fire Department,OH-1170270E,T3,,Distributio Conductor Overhead  No,,Tier 3,Y,Frontier Co 12,,,Contact From Object  Animal,,Electric Fa  Outside Force,Flycatcher,FIPA_2020_0725_1312
SCE,7/26/20,17:42,34.0602,-117.639,Vegetation,Urban,Less Than,,,OH-2268985E,No,,Distributio Conductor Overhead  Yes,,Non-HFRA N,,Frontier Co 12,7/26/20,14:42,Contact From Object  Other,,Electric Fa  Outside Force,Hose,FIPA_2020_0726_1742
SCE,7/26/20,17:09,33.8198,-116.491,Other,Urban,Less Than,,,OH-35838S,No,,Distributio Conductor Overhead  No,,Non-HFRA N,,Frontier Co 12,,,Equipmen  Conductor,,Human Error,Tortuga,FIPA_2020_0726_1709
SCE,7/26/20,12:50,34.5326,-118.054,Vegetation,Rural,Less Than,,,OH-4619162E,T3,12,Distributio Other,Overhead  No,Tier 3,Y,None,,,Equipmen  Other,,Other,Lasker,FIPA_2020_0726_1250
SCE,7/31/20,10:32,34.5091,-117.469,Vegetation,Rural,Less Than,,,OH-4771427E,No,33,Distributio Transform  Overhead  Yes,,Non-HFRA N,,None,7/31/20,10:32,Contact From Object  Animal,,Electric Fa  Outside Force,Russ Boyd,FIPA_2020_0731_1032
SCE,8/1/20,19:20,34.2612,-118.775,Vegetation,Urban,Less Than,,,OH-1415211E,T3,16,Distributio Conductor Overhead  No,,Tier 3,Y,None,,,Equipmen  Conductor,,Other,Erringer,FIPA_2020_0801_1920
